SYMBOL,SERIES,LAST
GAIL,EQ,105.9
GAL,EQ,2.5
GALAXYSURF,EQ,2377
GALLANTT,EQ,58.15
GANDHITUBE,EQ,500.25
GANECOS,EQ,926.95
GANESHBE,EQ,169.4
GANESHHOUC,EQ,322.9
GANGAFORGE,EQ,3.75
GANGESSECU,EQ,103.6
GANGOTRI,BZ,1
GARFIBRES,EQ,2913.6
GATEWAY,EQ,63.6
GATI,EQ,114.95
GAYAHWS,EQ,0.8
GAYAPROJ,BE,6.4
GEECEE,EQ,138.5
GEEKAYWIRE,EQ,162
GENCON,EQ,58
GENESYS,EQ,329
GENUSPAPER,EQ,13.9
GENUSPOWER,EQ,85.3
GEOJITFSL,EQ,43.35
GEPIL,EQ,107.85
GESHIP,EQ,645
GET&D,EQ,128
GFLLIMITED,EQ,54.1
GFSTEELS,BE,5.75
GHCL,BE,504
GICHSGFIN,EQ,165.2
GICL,SM,40.1
GICRE,EQ,142.95
GILLANDERS,EQ,63.5
GILLETTE,EQ,4366
GILT5YBEES,EQ,51.67
GINNIFILA,EQ,22.75
GIPCL,EQ,77.45
GISOLUTION,BE,9.55
GKWLIMITED,EQ,523.85
GLAND,EQ,1260
GLAXO,EQ,1291.7
GLENMARK,EQ,487.3
GLFL,EQ,2.5
GLOBAL,EQ,151.4
GLOBALVECT,EQ,53.7
GLOBE,EQ,2.95
GLOBUSSPR,EQ,860
GLS,EQ,408.2
GMBREW,EQ,559.45
GMDCLTD,EQ,131.25
GMMPFAUDLR,EQ,1467
GMRINFRA,EQ,43.6
GMRP&UI,EQ,16.6
GNA,EQ,810.7
GNFC,EQ,535.45
GOACARBON,EQ,439.85
GOCLCORP,EQ,297.5
GOCOLORS,EQ,993
GODFRYPHLP,EQ,1719.7
GODHA,EQ,1.25
GODREJAGRO,EQ,430
GODREJCP,EQ,965.05
GODREJIND,EQ,442
GODREJPROP,EQ,1222.55
GOENKA,BZ,1
GOKEX,EQ,355.8
GOKUL,EQ,28.4
GOKULAGRO,EQ,112.75
GOLDBEES,EQ,51.4
GOLDENTOBC,BZ,49
GOLDIAM,EQ,139.9
GOLDSHARE,EQ,51.55
GOLDSTAR,SM,6.9
